Golongan_Umur,Status,Tahun,Bulan,Jumlah,Total_modif
15-19,Pernah,2021,Feb,281236,
20-24,Pernah,2021,Feb,1338570,
25-29,Pernah,2021,Feb,1111006,
30-34,Pernah,2021,Feb,654139,
35-39,Pernah,2021,Feb,518758,
40-44,Pernah,2021,Feb,439957,
45-49,Pernah,2021,Feb,382735,
50-54,Pernah,2021,Feb,315484,
55-59,Pernah,2021,Feb,252439,
60+,Pernah,2021,Feb,172463,
Total,Pernah,2021,Feb,5466787,
15-19,Pernah,2021,Agu,216393,
20-24,Pernah,2021,Agu,1035523,
25-29,Pernah,2021,Agu,852228,
30-34,Pernah,2021,Agu,589693,
35-39,Pernah,2021,Agu,470312,
40-44,Pernah,2021,Agu,398921,
45-49,Pernah,2021,Agu,365381,
50-54,Pernah,2021,Agu,321420,
55-59,Pernah,2021,Agu,170952,
60+,Pernah,2021,Agu,345345,
Total,Pernah,2021,Agu,4685168,
15-19,Pernah,2022,Feb,186118,
20-24,Pernah,2022,Feb,892848,
25-29,Pernah,2022,Feb,817182,
30-34,Pernah,2022,Feb,556660,
35-39,Pernah,2022,Feb,480197,
40-44,Pernah,2022,Feb,472952,
45-49,Pernah,2022,Feb,456096,
50-54,Pernah,2022,Feb,382136,
55-59,Pernah,2022,Feb,191001,
60+,Pernah,2022,Feb,170487,
Total,Pernah,2022,Feb,4525287,
15-19,Pernah,2022,Agu,196516,
20-24,Pernah,2022,Agu,882209,
25-29,Pernah,2022,Agu,664221,
30-34,Pernah,2022,Agu,438252,
35-39,Pernah,2022,Agu,317880,
40-44,Pernah,2022,Agu,298428,
45-49,Pernah,2022,Agu,251527,
50-54,Pernah,2022,Agu,209066,
55-59,Pernah,2022,Agu,161506,
60+,Pernah,2022,Agu,325516,
Total,Pernah,2022,Agu,3730077,
15-19,Pernah,2023,Feb,152408,
20-24,Pernah,2023,Feb,920768,
25-29,Pernah,2023,Feb,710383,
30-34,Pernah,2023,Feb,573322,
35-39,Pernah,2023,Feb,502226,
40-44,Pernah,2023,Feb,528134,
45-49,Pernah,2023,Feb,452607,
50-54,Pernah,2023,Feb,255182,
55-59,Pernah,2023,Feb,126469,
60+,Pernah,2023,Feb,175172,
Total,Pernah,2023,Feb,4300968,
15-19,Pernah,2023,Agu,224622,
20-24,Pernah,2023,Agu,1007303,
25-29,Pernah,2023,Agu,781541,
30-34,Pernah,2023,Agu,449153,
35-39,Pernah,2023,Agu,583113,
40-44,Pernah,2023,Agu,239595,
45-49,Pernah,2023,Agu,427311,
50-54,Pernah,2023,Agu,285145,
55-59,Pernah,2023,Agu,143011,
60+,Pernah,2023,Agu,185324,
Total,Pernah,2023,Agu,3791895,
15-19,Pernah,2024,Feb,123702,
20-24,Pernah,2024,Feb,795663,
25-29,Pernah,2024,Feb,637006,
30-34,Pernah,2024,Feb,435145,
35-39,Pernah,2024,Feb,277823,
40-44,Pernah,2024,Feb,253894,
45-49,Pernah,2024,Feb,247099,
50-54,Pernah,2024,Feb,185142,
55-59,Pernah,2024,Feb,126046,
60+,Pernah,2024,Feb,154640,
Total,Pernah,2024,Feb,3198332,
15-19,Pernah,2024,Agu,181907,
20-24,Pernah,2024,Agu,939722,
25-29,Pernah,2024,Agu,707133,
30-34,Pernah,2024,Agu,402593,
35-39,Pernah,2024,Agu,291857,
40-44,Pernah,2024,Agu,289405,
45-49,Pernah,2024,Agu,191355,
50-54,Pernah,2024,Agu,187275,
55-59,Pernah,2024,Agu,134781,
60+,Pernah,2024,Agu,211701,
Total,Pernah,2024,Agu,3497369,
15-19,Tidak,2021,Feb,931164,
20-24,Tidak,2021,Feb,1270769,
25-29,Tidak,2021,Feb,1423663,
30-34,Tidak,2021,Feb,125522,
35-39,Tidak,2021,Feb,197758,
40-44,Tidak,2021,Feb,336406,
45-49,Tidak,2021,Feb,105693,
50-54,Tidak,2021,Feb,17734,
55-59,Tidak,2021,Feb,67204,
60+,Tidak,2021,Feb,23133,
Total,Tidak,2021,Feb,3279221,
15-19,Tidak,2021,Agu,1252939,
20-24,Tidak,2021,Agu,1562284,
25-29,Tidak,2021,Agu,664517,
30-34,Tidak,2021,Agu,303790,
35-39,Tidak,2021,Agu,169724,
40-44,Tidak,2021,Agu,151397,
45-49,Tidak,2021,Agu,133573,
50-54,Tidak,2021,Agu,53498,
55-59,Tidak,2021,Agu,30214,
60+,Tidak,2021,Agu,64620,
Total,Tidak,2021,Agu,4416884,
15-19,Tidak,2022,Feb,947621,
20-24,Tidak,2022,Feb,1611664,
25-29,Tidak,2022,Feb,526326,
30-34,Tidak,2022,Feb,198102,
35-39,Tidak,2022,Feb,122060,
40-44,Tidak,2022,Feb,127199,
45-49,Tidak,2022,Feb,148804,
50-54,Tidak,2022,Feb,113425,
55-59,Tidak,2022,Feb,111529,
60+,Tidak,2022,Feb,28624,
Total,Tidak,2022,Feb,3878686,
15-19,Tidak,2022,Agu,1659776,
20-24,Tidak,2022,Agu,1711912,
25-29,Tidak,2022,Agu,502041,
30-34,Tidak,2022,Agu,170260,
35-39,Tidak,2022,Agu,168040,
40-44,Tidak,2022,Agu,96920,
45-49,Tidak,2022,Agu,104317,
50-54,Tidak,2022,Agu,104582,
55-59,Tidak,2022,Agu,64061,
60+,Tidak,2022,Agu,160025,
Total,Tidak,2022,Agu,4695854,
15-19,Tidak,2023,Feb,971087,
20-24,Tidak,2023,Feb,1476638,
25-29,Tidak,2023,Feb,503097,
30-34,Tidak,2023,Feb,189270,
35-39,Tidak,2023,Feb,141824,
40-44,Tidak,2023,Feb,152037,
45-49,Tidak,2023,Feb,161972,
50-54,Tidak,2023,Feb,28269,
55-59,Tidak,2023,Feb,23366,
60+,Tidak,2023,Feb,17602,
Total,Tidak,2023,Feb,3688307,
15-19,Tidak,2023,Agu,1408841,
20-24,Tidak,2023,Agu,1663172,
25-29,Tidak,2023,Agu,510814,
30-34,Tidak,2023,Agu,160449,
35-39,Tidak,2023,Agu,110371,
40-44,Tidak,2023,Agu,62072,
45-49,Tidak,2023,Agu,47530,
50-54,Tidak,2023,Agu,42999,
55-59,Tidak,2023,Agu,26257,
60+,Tidak,2023,Agu,33445,
Total,Tidak,2023,Agu,4065596,
15-19,Tidak,2024,Feb,910417,
20-24,Tidak,2024,Feb,1788518,
25-29,Tidak,2024,Feb,649706,
30-34,Tidak,2024,Feb,189779,
35-39,Tidak,2024,Feb,154707,
40-44,Tidak,2024,Feb,89758,
45-49,Tidak,2024,Feb,65292,
50-54,Tidak,2024,Feb,62565,
55-59,Tidak,2024,Feb,39936,
60+,Tidak,2024,Feb,46106,
Total,Tidak,2024,Feb,3968230,
15-19,Tidak,2024,Agu,1250053,
20-24,Tidak,2024,Agu,1558257,
25-29,Tidak,2024,Agu,551709,
30-34,Tidak,2024,Agu,179251,
35-39,Tidak,2024,Agu,110179,
40-44,Tidak,2024,Agu,85405,
45-49,Tidak,2024,Agu,81122,
50-54,Tidak,2024,Agu,60098,
55-59,Tidak,2024,Agu,33790,
60+,Tidak,2024,Agu,61705,
Total,Tidak,2024,Agu,3928230,
15-19,Jumlah_penggaguran,2021,Feb,1212400,
20-24,Jumlah_penggaguran,2021,Feb,2609393,
25-29,Jumlah_penggaguran,2021,Feb,1527609,
30-34,Jumlah_penggaguran,2021,Feb,80261,
35-39,Jumlah_penggaguran,2021,Feb,618486,
40-44,Jumlah_penggaguran,2021,Feb,570659,
45-49,Jumlah_penggaguran,2021,Feb,488428,
50-54,Jumlah_penggaguran,2021,Feb,392018,
55-59,Jumlah_penggaguran,2021,Feb,396491,
60+,Jumlah_penggaguran,2021,Feb,195596,
Total,Jumlah_penggaguran,2021,Feb,8746008,
15-19,Jumlah_penggaguran,2021,Agu,1469332,
20-24,Jumlah_penggaguran,2021,Agu,2597807,
25-29,Jumlah_penggaguran,2021,Agu,1534639,
30-34,Jumlah_penggaguran,2021,Agu,806661,
35-39,Jumlah_penggaguran,2021,Agu,667887,
40-44,Jumlah_penggaguran,2021,Agu,552795,
45-49,Jumlah_penggaguran,2021,Agu,498954,
50-54,Jumlah_penggaguran,2021,Agu,284918,
55-59,Jumlah_penggaguran,2021,Agu,393161,
60+,Jumlah_penggaguran,2021,Agu,418965,
Total,Jumlah_penggaguran,2021,Agu,9102052,
15-19,Jumlah_penggaguran,2022,Feb,1133739,
20-24,Jumlah_penggaguran,2022,Feb,2504512,
25-29,Jumlah_penggaguran,2022,Feb,1343508,
30-34,Jumlah_penggaguran,2022,Feb,893483,
35-39,Jumlah_penggaguran,2022,Feb,649921,
40-44,Jumlah_penggaguran,2022,Feb,549495,
45-49,Jumlah_penggaguran,2022,Feb,604900,
50-54,Jumlah_penggaguran,2022,Feb,295011,
55-59,Jumlah_penggaguran,2022,Feb,201166,
60+,Jumlah_penggaguran,2022,Feb,199111,
Total,Jumlah_penggaguran,2022,Feb,8402153,
15-19,Jumlah_penggaguran,2022,Agu,1856292,
20-24,Jumlah_penggaguran,2022,Agu,2540121,
25-29,Jumlah_penggaguran,2022,Agu,1166262,
30-34,Jumlah_penggaguran,2022,Agu,754722,
35-39,Jumlah_penggaguran,2022,Agu,439940,
40-44,Jumlah_penggaguran,2022,Agu,349158,
45-49,Jumlah_penggaguran,2022,Agu,581424,
50-54,Jumlah_penggaguran,2022,Agu,324182,
55-59,Jumlah_penggaguran,2022,Agu,122140,
60+,Jumlah_penggaguran,2022,Agu,485541,
Total,Jumlah_penggaguran,2022,Agu,8425931,
15-19,Jumlah_penggaguran,2023,Feb,1123495,
20-24,Jumlah_penggaguran,2023,Feb,2397136,
25-29,Jumlah_penggaguran,2023,Feb,1213435,
30-34,Jumlah_penggaguran,2023,Feb,761951,
35-39,Jumlah_penggaguran,2023,Feb,670266,
40-44,Jumlah_penggaguran,2023,Feb,581688,
45-49,Jumlah_penggaguran,2023,Feb,612643,
50-54,Jumlah_penggaguran,2023,Feb,292183,
55-59,Jumlah_penggaguran,2023,Feb,149835,
60+,Jumlah_penggaguran,2023,Feb,192774,
Total,Jumlah_penggaguran,2023,Feb,7989275,
15-19,Jumlah_penggaguran,2023,Agu,1633463,
20-24,Jumlah_penggaguran,2023,Agu,2670475,
25-29,Jumlah_penggaguran,2023,Agu,1292355,
30-34,Jumlah_penggaguran,2023,Agu,609968,
35-39,Jumlah_penggaguran,2023,Agu,433484,
40-44,Jumlah_penggaguran,2023,Agu,301667,
45-49,Jumlah_penggaguran,2023,Agu,281342,
50-54,Jumlah_penggaguran,2023,Agu,244284,
55-59,Jumlah_penggaguran,2023,Agu,169268,
60+,Jumlah_penggaguran,2023,Agu,218769,
Total,Jumlah_penggaguran,2023,Agu,7855075,
15-19,Jumlah_penggaguran,2024,Feb,1034119,
20-24,Jumlah_penggaguran,2024,Feb,2584181,
25-29,Jumlah_penggaguran,2024,Feb,1286712,
30-34,Jumlah_penggaguran,2024,Feb,624915,
35-39,Jumlah_penggaguran,2024,Feb,432530,
40-44,Jumlah_penggaguran,2024,Feb,343939,
45-49,Jumlah_penggaguran,2024,Feb,312391,
50-54,Jumlah_penggaguran,2024,Feb,208089,
55-59,Jumlah_penggaguran,2024,Feb,165940,
60+,Jumlah_penggaguran,2024,Feb,202546,
Total,Jumlah_penggaguran,2024,Feb,7194862,
15-19,Jumlah_penggaguran,2024,Agu,1431960,
20-24,Jumlah_penggaguran,2024,Agu,2497979,
25-29,Jumlah_penggaguran,2024,Agu,1258842,
30-34,Jumlah_penggaguran,2024,Agu,584544,
35-39,Jumlah_penggaguran,2024,Agu,392036,
40-44,Jumlah_penggaguran,2024,Agu,321531,
45-49,Jumlah_penggaguran,2024,Agu,275437,
50-54,Jumlah_penggaguran,2024,Agu,247373,
55-59,Jumlah_penggaguran,2024,Agu,182491,
60+,Jumlah_penggaguran,2024,Agu,273406,
Total,Jumlah_penggaguran,2024,Agu,7465599,
